X Y N T M U V
132.125000 3.875000 0.000000 0.000000 0.000000 0.000000 0.000000
132.125000 4.125000 0.000000 0.000000 0.000000 0.000000 0.000000
132.125000 4.375000 0.000000 0.000000 0.000000 0.000000 0.000000
132.125000 4.625000 0.000000 0.000000 0.000000 0.000000 0.000000
132.125000 4.875000 0.000000 0.000000 0.000000 0.000000 0.000000
132.375000 0.125000 0.000000 0.000000 0.000000 0.000000 0.000000
132.375000 0.375000 0.000000 0.000000 0.000000 0.000000 0.000000
132.375000 0.625000 0.000000 0.000000 0.000000 0.000000 0.000000
132.375000 0.875000 0.000000 0.000000 0.000000 0.000000 0.000000
132.375000 1.125000 0.000000 0.000000 0.000000 0.000000 0.000000
132.375000 1.375000 0.000000 0.000000 0.000000 0.000000 0.000000
132.375000 1.625000 0.000000 0.000000 0.000000 0.000000 0.000000
132.375000 1.875000 0.000000 0.000000 0.000000 0.000000 0.000000
132.375000 2.125000 0.000000 0.000000 0.000000 0.000000 0.000000
132.375000 2.375000 0.000000 0.000000 0.000000 0.000000 0.000000
132.375000 2.625000 0.000000 0.000000 0.000000 0.000000 0.000000
132.375000 2.875000 0.000000 0.000000 0.000000 0.000000 0.000000
132.375000 3.125000 0.000000 0.000000 0.000000 0.000000 0.000000
132.375000 3.375000 0.000000 0.000000 0.000000 0.000000 0.000000
132.375000 3.625000 0.000000 0.000000 0.000000 0.000000 0.000000
132.375000 3.875000 0.000000 0.000000 0.000000 0.000000 0.000000
132.375000 4.125000 0.000000 0.000000 0.000000 0.000000 0.000000
132.375000 4.375000 0.000000 0.000000 0.000000 0.000000 0.000000
132.375000 4.625000 0.000000 0.000000 0.000000 0.000000 0.000000
132.375000 4.875000 0.000000 0.000000 0.000000 0.000000 0.000000
132.625000 0.125000 0.000000 0.000000 0.000000 0.000000 0.000000
132.625000 0.375000 0.000000 0.000000 0.000000 0.000000 0.000000
132.625000 0.625000 0.000000 0.000000 0.000000 0.000000 0.000000
132.625000 0.875000 0.000000 0.000000 0.000000 0.000000 0.000000
132.625000 1.125000 0.000000 0.000000 0.000000 0.000000 0.000000
132.625000 1.375000 0.000000 0.000000 0.000000 0.000000 0.000000
132.625000 1.625000 0.000000 0.000000 0.000000 0.000000 0.000000
132.625000 1.875000 0.000000 0.000000 0.000000 0.000000 0.000000
132.625000 2.125000 0.000000 0.000000 0.000000 0.000000 0.000000
132.625000 2.375000 0.000000 0.000000 0.000000 0.000000 0.000000
132.625000 2.625000 0.000000 0.000000 0.000000 0.000000 0.000000
132.625000 2.875000 0.000000 0.000000 0.000000 0.000000 0.000000
132.625000 3.125000 0.000000 0.000000 0.000000 0.000000 0.000000
132.625000 3.375000 0.000000 0.000000 0.000000 0.000000 0.000000
132.625000 3.625000 0.000000 0.000000 0.000000 0.000000 0.000000
132.625000 3.875000 0.000000 0.000000 0.000000 0.000000 0.000000
132.625000 4.125000 0.000000 0.000000 0.000000 0.000000 0.000000
132.625000 4.375000 0.000000 0.000000 0.000000 0.000000 0.000000
132.625000 4.625000 0.000000 0.000000 0.000000 0.000000 0.000000
132.625000 4.875000 0.000000 0.000000 0.000000 0.000000 0.000000
132.875000 0.125000 0.000000 0.000000 0.000000 0.000000 0.000000
132.875000 0.375000 0.000000 0.000000 0.000000 0.000000 0.000000
132.875000 0.625000 0.000000 0.000000 0.000000 0.000000 0.000000
132.875000 0.875000 0.000000 0.000000 0.000000 0.000000 0.000000
132.875000 1.125000 0.000000 0.000000 0.000000 0.000000 0.000000
132.875000 1.375000 0.000000 0.000000 0.000000 0.000000 0.000000
132.875000 1.625000 0.000000 0.000000 0.000000 0.000000 0.000000
132.875000 1.875000 0.000000 0.000000 0.000000 0.000000 0.000000
132.875000 2.125000 0.000000 0.000000 0.000000 0.000000 0.000000
132.875000 2.375000 0.000000 0.000000 0.000000 0.000000 0.000000
132.875000 2.625000 0.000000 0.000000 0.000000 0.000000 0.000000
132.875000 2.875000 0.000000 0.000000 0.000000 0.000000 0.000000
132.875000 3.125000 0.000000 0.000000 0.000000 0.000000 0.000000
132.875000 3.375000 0.000000 0.000000 0.000000 0.000000 0.000000
132.875000 3.625000 0.000000 0.000000 0.000000 0.000000 0.000000
132.875000 3.875000 0.000000 0.000000 0.000000 0.000000 0.000000
132.875000 4.125000 0.000000 0.000000 0.000000 0.000000 0.000000
132.875000 4.375000 0.000000 0.000000 0.000000 0.000000 0.000000
132.875000 4.625000 0.000000 0.000000 0.000000 0.000000 0.000000
132.875000 4.875000 0.000000 0.000000 0.000000 0.000000 0.000000
133.125000 0.125000 0.000000 0.000000 0.000000 0.000000 0.000000
133.125000 0.375000 0.000000 0.000000 0.000000 0.000000 0.000000
133.125000 0.625000 0.000000 0.000000 0.000000 0.000000 0.000000
